Book title,Author,Description,Price
"[""Навчитися вчитися. Як запустити свій мозок на повну""]","[""Барбара Оклі""]","[""ТЕМАТИКА \n Саморозвиток, освіта, психологія, робота мозку.\n   ПРО КНИЖКУ   \n Ви математик чи гуманітарій? Професорка Барбара Оклі переконує, що таких понять не існує. Кожен із нас має внутрішній потенціал, щоб засвоїти будь-які знання. Головне — навчитися вчитися й запустити свій мозок на повну.""]","[""230""]"
"[""Ніколи не йдіть на компроміс. Техніка ефективних переговорів""]","[""Кріс Восс, Тал Рез""]","[""Техніка ведення ефективних переговорів від експерта ФБР. \n  ТЕМАТИКА  \n Психологія. \n  ПРО КНИЖКУ  \n Життя — це серія постійних переговорів. Ми домовляємося про ціну на вживане авто, про заробітну платню чи те, хто виконуватиме хатні справи в нашій сім’ї. Фактично це єдиний""]","[""250""]"
"[""Купи собі той довбаний букет: та інші способи зібратися докупи від тієї, кому вдалось""]","[""Тара Шустер""]","[""В цій книжці авторка розповідає історію власного перевиховання та перетворення на чемпіонку з любові до себе. Завдяки простим щоденним ритуалам Тара змінила свою свідомість, тіло та стосунки і навчить вас, як:     вдавати вдячність, поки не відчуєте вдячності насправді   розкопати та зцілити""]","[""326""]"
"[""Твоїй внутрішній дитині потрібен дім""]","[""Штефані Шталь""]","[""Продано понад 1 000 000 примірників   Від кваліфікованої німецької психологині та авторки наукових бестселерів   Техніки для роботи із застарілим дитячими травмами в дорослих   Бути коханими й щасливими - базове бажання кожного з нас. Але нерідко пережиті в дитинстві образи залишають глибокий""]","[""285""]"
"[""Сила волі. Шлях до влади над собою""]","[""Келлі Макґонігал""]","[""Книжка «Сила волі. Шлях до влади над собою» відомої американської психологині, викладачки Стенфордського університету Келлі Макґоніґал стала  світовим бестселером. \n\n  ТЕМАТИКА \n Психологія, мотиваційна література, селфмейд, саморозвиток, поведінка, звички\n\n  ПРО КНИЖКУ \n Мова, література,""]","[""260""]"
"[""Чудовий ранок. Як не проспати життя""]","[""Гел Елрод""]","[""Книжка коуча Гела Елрода отримала понад півтори тисячі п’ятизіркових відгуків на Amazon.com від читачів з усього світу. Вона допоможе виробити корисні звички і продуктивно використовувати ранковий час. \n  ТЕМАТИКА.  \n Селфмейд, мотивація, психологія особистості, поведінка, звички,""]","[""230""]"
"[""За межами порядку. Ще 12 правил життя""]","[""Джордан Пітерсон""]","[""Нові 12 настанов для життя у сучасному світі від культового автора. \n Тематика \n Саморозвиток, психологія. \n Про книжку \n Як не потонути, коли доводиться вступати в грузьке болото? Чому хаос і порядок рівноцінно важливі? Як переживати втрати, відчай і страждання — й усе одно лишатися вдячним?""]","[""250""]"
"[""Психологія впливу та переконання. Як отримати все, що забажаєш""]","[""Зої Чанс""]","[""Руйнуємо 10 хибних упереджень про силу впливу \n Станьте тим, з ким люди самі захочуть погодитись \n Топ-мислителька світового масштабу за версією Thinkers50 \n Авторку називають сучасним Дейлом Карнегі \n Отримати бажане без поступок та компромісів. Почати життя, у якому люди самі залюбки погоджуються""]","[""250""]"
"[""Дофамінове покоління. Де межа між болем і задоволенням""]","[""Анна Лембке""]","[""Книжка розповідає про залежності від вивільнення дофаміну: чому вони виникають, які вони бувають, який механізм їхньої дії та як їх позбутися. Авторка — на основі реальних випадків людей, які приходять до неї на терапію, та теоретичних знань — обґрунтовує, чому сучасним людям так просто""]","[""269""]"
"[""Психологія впливу. Оновлене та розширене видання""]","[""Роберт Чалдині""]","[""Оновлене та доповнене видання   Світовий бестселер з психології, який було написано в 1984р. тепер перероблено та доповнено новими дослідженнями, ідеями, прикладами та онлайн-додатками.   Що може змусити кожну людину сказати «так»? Як переконувати людей та уникати небажаного впливу? Відповіді""]","[""350""]"
"[""Сила інтровертів. Тихі люди у світі, що не може мовчати""]","[""Сьюзен Кейн""]","[""«Сила інтровертів»  — бестселер Washington Post, Los Angeles Times, а в списках бестселерів New York Times книжка була понад три роки. Перекладена 36-ма мовами. Названа найкращою книжкою 2012 року у жанрі нон-фікшн за версією читачів сайту Goodreads. \n  Тематика""]","[""260""]"
"[""Вище власної величі""]","[""Аріндам Бхаттачарія, Ніколаус Ланг, Джим Геммерлінг""]","[""Вище власної величі. Дев’ять способів забезпечити процвітання у добу соціальних негараздів, економічного націоналізму і науково-технічної революції   Правила ведення бізнесу були передбачуваними колись, але не сьогодні. Під впливом трьох потужних дестабілізуючих сил, а саме соціальної напруженості,""]","[""325""]"
"[""Більдунґ. Нордичний секрет краси і свободи""]","[""Лене Рейчел Андерсен, Томас Бйоркман""]","[""Секрет скандинавського благополуччя розкрито! \n\n Тематика книги  \n\n Історія, освіта, суспільний розвиток, культура. \n\n Опис книги \""Більдунґ. Нордичний секрет краси і свободи\"" Лене Рейчел Андерсен, Томаса Бйоркмана \n\n\n 1800 роки: північні країни чи не найбідніші в Європі. Шведи так злидарюють, що""]","[""290""]"
"[""Маніфест буденного героя. Активізуй позитив, максимізуй продуктивність, слугуй...""]","[""Робін Шарма""]","[""Легендарний наставник у сфері мотивації, лідерства й особистісного розвитку Робін Шарма на сторінках цієї книжки люб’язно надає доступ до свої трансформаційної методології кожному охочому й готовому здобути непереможний позитив, невичерпну продуктивність і глибоку духовну свободу. Читач дізнається,""]","[""350""]"
"[""Дорослі діти емоційно незрілих батьків""]","[""Ліндсі К. Гібсон""]","[""У своїй революційній книжці психологиня Ліндсі К. Гібсон докладно розглядає деструктивний характер стосунків з емоційно незрілими батьками. Ви побачите, як батьки вплинули на розвиток вашого внутрішнього відчуття самотності, і дізнаєтеся, як впоратися з болем і розгубленістю, які супроводжують вас""]","[""320""]"
"[""Дар. 14 уроків, які врятують ваше життя""]","[""Едіт Еґер""]","[""Едіт Еґер написала цю книжку на прохання читачів її бестселера «Вибір» і це практичний посібник як подбати про своє ментальне здоров’я – як жити повноцінно і не застрягати у в’язниці власного розуму.   Це своєрідні 14 сеансів від видатної психотерапевтки, які пояснюють як сприймати свої емоції, як""]","[""350""]"
"[""Поведінкова економіка. Чому люди діють ірраціонально і як отримати з цього вигоду...""]","[""Річард Талер""]","[""Книжка Річарда Талера — лауреата Нобелівської премії з економіки 2017 року, відзначеного за внесок у галузь поведінкової економіки. \n  Ця книга є оновленим виданням вже відомої Вам  \""Поведінкова економіка. Як емоції впливають на економічні рішення\"".   \n  ТЕМАТИКА  \n Поведінкова""]","[""350""]"
"[""Think Again: The Power of Knowing What You Don't Know""]","[""Адам Ґрант""]","[""Bestselling author and TED podcast star, Adam Grant examines the critical art of rethinking -- how questioning your beliefs and knowing what you don't know can lead you to success at work and happiness at home  Instant #1 New York Times Bestseller  Discover how rethinking can lead to excellence at""]","[""568""]"
"[""Людина в пошуках справжнього сенсу""]","[""Віктор Франкл""]","[""Віктор Франкл  — всесвітньо відомий психіатр, психотерапевт, філософ. 1942 року він потрапив до концтабору, де на нього чекали голод, приниження, хвороби, постійна загроза життю. Аналізуючи свою поведінку та поведінку інших в’язнів, Франкл віднайшов стратегії, що утримують людину над""]","[""130""]"
"[""Surrounded by Psychopaths or, How to Stop Being Exploited by Others""]","[""Томас Еріксон""]","[""From the Sunday Times bestselling author of Surrounded by Idiots. Some people are exceptionally manipulative. They can convince anyone about anything and lure them with their charm. They enjoy controlling others and will do anything to get what they want. Sound familiar? The bad news is that you""]","[""522""]"
"[""The Joy of Work""]","[""Брюс Дейслі""]","[""From the creator of hit podcast Eat Sleep Work Repeat comes a revolutionary re-envisioning of how to enjoy your job.  Do you want to get more done, feel less stressed and love your job again?  Sometimes having a job can feel like hard work. But between Monk Mode mornings, silent meetings and crisp""]","[""420""]"
"[""Думай і багатій""]","[""Наполеон Гілл""]","[""Книжка «Думай і багатій» — один із зразків класичної мотиваційної літератури.  Понад 20 мільйонів примірників книги було продано лише за життя автора і вона досі залишається всесвітньо визнаним бестселером про фінансову грамотність, бізнес та позитивне мислення. \n\n Тематика видання \n Мотивація,""]","[""215""]"
"[""Grit""]","[""Анжела Дакворт""]","[""Talent is overrated - learn what truly makes you succeed  Angela Duckworth's seminal work on why passion and perseverance matter more than anything  Why do naturally talented people frequently fail to reach their potential while other far less gifted individuals go on to achieve amazing things? The""]","[""419""]"
"[""101 спосіб впоратися з тривогою, страхом і панічними атаками""]","[""Таня Пітерсон""]","[""Виберіться з тенет тривоги й переберіться в щасливе життя!  \n\n Тематика книги  \n\n Психологія, тривожність, страхи, фобії, панічні атаки.  \n\n Опис книги \""101 спосіб впоратися з тривогою, страхом і панічними атаками\""  \n\n Випхайте її за двері. Так, її - тривогу за минуле й сьогодення, себе й рідних,""]","[""260""]"
"[""Invisible Women""]","[""Керолайн Кріадо Перес""]","[""*THE SUNDAY TIMES NUMBER ONE BESTSELLER*  'HELL YES. This is one of those books that has the potential to change things - a monumental piece of research' Caitlin Moran  Imagine a world where...  *Your phone is too big for your hand  *Your doctor prescribes a drug that is wrong for your body  *In a""]","[""522""]"
"[""Придурки на роботі. Токсичні колеги і що з ними робити""]","[""Тесса Вест""]","[""7 типів людей, з якими важко працювати \n 7 стратегій робочої комунікації без стресу \n Практичний і веселий посібник, що допоможе впоратися з токсичними колегами \n Дволикий Янус, паразит, танк, трутень, наглядач, бос-недбайло, газлайтер — це не химерні міфічні істоти, а цілком реальні колеги,""]","[""270""]"
"[""Усе замахало. Але надія є""]","[""Марк Менсон""]","[""Як подолати безнадію та бути чесним із собою та людьми\nнавколо. \n\n Тематика \n\n Саморозвиток, психологія, мотиваційна література. \n\n Про що книга \n\n Ми живемо в парадоксі прогресу: що кращими стають речі навколо нас, то\nтривожнішими ми є. І хоча світ успішно бореться з голодом, расизмом,\nсексизмом""]","[""210""]"
"[""Долаємо співзалежність""]","[""Мелоді Бітті""]","[""Маєте проблеми із самооцінкою, знижений емоційний фон, понад усе боїтеся самотності? Почуваєтеся великими хрещеними матерями та батьками цього світу й задовольняєте, а чи й передбачаєте потреби інших, ігноруючи власні? Ваш діагноз — співзалежність. Від цієї психічної патології потерпають""]","[""300""]"
"[""Їжа для ментального здоров'я. Як харчуватися, щоб жити без стресу, депресії,...""]","[""Ума Найду""]","[""Зазирніть у свій холодильник: що їсти, щоб запобігти психічним\nрозладам \n\n Тематика книги  \n Наукпоп, здоров’я, харчування, здоровий спосіб життя. \n\n Опис книги \""Їжа для ментального здоров'я. Як харчуватися, щоб жити без стресу, депресії, тривожності\"" Уми Найду \n\n\n «Шлях до серця чоловіка лежить""]","[""250""]"
"[""Порожні обійми""]","[""Шерокі Айлз""]","[""«Порожні обійми» – вичерпний, стислий і заспокійливий посібник, до якого найперше мають звернутися батьки, які нещодавно втратили дитину. Унікальний і обнадійливий, він стосується всіх, кого торкнулася дитяча смерть або викидень. Зі співчуттям і чуйністю авторка, яка сама пройшла кілька разів через""]","[""228""]"
